"Time","L1","L2","L3"
2024-06-05 23:52:00,1.64 K,1.71 K,1.09 K
2024-06-05 23:53:00,1.02 K,1.17 K,1.19 K
2024-06-05 23:54:00,973,1.06 K,445
2024-06-05 23:55:00,974,1.05 K,24.1
2024-06-05 23:56:00,987,1.12 K,1.15 K
2024-06-05 23:57:00,975,1.11 K,796
2024-06-05 23:58:00,977,1.07 K,1.06 K
2024-06-05 23:59:00,1.90 K,2.23 K,2.29 K
2024-06-06 00:00:00,2.12 K,2.47 K,2.72 K
2024-06-06 00:01:00,2.32 K,2.65 K,2.50 K
2024-06-06 00:02:00,1.53 K,1.77 K,2.49 K
2024-06-06 00:03:00,1.50 K,1.71 K,1.77 K
2024-06-06 00:04:00,1.58 K,1.93 K,1.96 K
2024-06-06 00:05:00,1.59 K,1.80 K,1.46 K
2024-06-06 00:06:00,961,1.09 K,800
2024-06-06 00:07:00,978,1.04 K,1.17 K
2024-06-06 00:08:00,963,1.06 K,770
2024-06-06 00:09:00,962,1.04 K,1.17 K
2024-06-06 00:10:00,982,994,777
2024-06-06 00:11:00,1.41 K,1.73 K,1.35 K
2024-06-06 00:12:00,1.88 K,2.48 K,2.79 K
2024-06-06 00:13:00,1.86 K,2.61 K,2.47 K
2024-06-06 00:14:00,1.86 K,2.38 K,2.20 K
2024-06-06 00:15:00,1.85 K,2.54 K,3.19 K
2024-06-06 00:16:00,1.85 K,2.51 K,1.78 K
2024-06-06 00:17:00,1.86 K,2.43 K,2.15 K
2024-06-06 00:18:00,1.82 K,2.54 K,2.90 K
2024-06-06 00:19:00,1.86 K,2.52 K,2.84 K
2024-06-06 00:20:00,1.83 K,2.42 K,2.15 K
2024-06-06 00:21:00,1.87 K,2.39 K,2.73 K
2024-06-06 00:22:00,1.82 K,2.48 K,2.52 K
2024-06-06 00:23:00,1.83 K,2.50 K,2.55 K
2024-06-06 00:24:00,1.82 K,2.57 K,4.00 K
2024-06-06 00:25:00,1.85 K,2.47 K,3.29 K
2024-06-06 00:26:00,1.85 K,2.46 K,2.92 K
2024-06-06 00:27:00,1.87 K,2.50 K,3.24 K
2024-06-06 00:28:00,1.83 K,2.46 K,2.63 K
2024-06-06 00:29:00,1.22 K,1.76 K,1.48 K
2024-06-06 00:30:00,1.21 K,1.86 K,2.61 K
2024-06-06 00:31:00,537,1.25 K,1.18 K
2024-06-06 00:32:00,1.48 K,2.21 K,2.09 K
2024-06-06 00:33:00,1.45 K,2.07 K,2.84 K
2024-06-06 00:34:00,2.42 K,2.78 K,2.80 K
2024-06-06 00:35:00,2.37 K,2.65 K,2.98 K
2024-06-06 00:36:00,2.29 K,2.49 K,3.64 K
2024-06-06 00:37:00,2.33 K,2.87 K,2.60 K
2024-06-06 00:38:00,2.27 K,2.64 K,2.11 K
2024-06-06 00:39:00,2.24 K,2.64 K,2.98 K
2024-06-06 00:40:00,2.21 K,2.52 K,1.52 K
2024-06-06 00:41:00,2.16 K,2.36 K,1.79 K
2024-06-06 00:42:00,2.11 K,2.37 K,3.13 K
2024-06-06 00:43:00,2.13 K,2.54 K,2.61 K
2024-06-06 00:44:00,2.10 K,2.40 K,2.32 K
2024-06-06 00:45:00,2.03 K,2.54 K,2.86 K
2024-06-06 00:46:00,2.11 K,2.44 K,1.55 K
2024-06-06 00:47:00,1.52 K,1.87 K,1.73 K
2024-06-06 00:48:00,1.57 K,1.68 K,2.08 K
2024-06-06 00:49:00,1.55 K,1.53 K,1.32 K
2024-06-06 00:50:00,982,864,440
2024-06-06 00:51:00,989,939,1.50 K
2024-06-06 00:52:00,1.50 K,1.81 K,1.36 K
2024-06-06 00:53:00,1.99 K,2.45 K,1.92 K
2024-06-06 00:54:00,2.11 K,2.57 K,3.09 K
2024-06-06 00:55:00,1.53 K,2.02 K,2.09 K
2024-06-06 00:56:00,1.55 K,1.27 K,1.05 K
2024-06-06 00:57:00,1.55 K,1.73 K,2.46 K
2024-06-06 00:58:00,1.55 K,1.79 K,1.05 K
2024-06-06 00:59:00,1.58 K,1.88 K,1.02 K
2024-06-06 01:00:00,1.55 K,1.77 K,2.53 K
2024-06-06 01:01:00,1.57 K,1.81 K,1.38 K
2024-06-06 01:02:00,1.56 K,1.75 K,1.42 K
2024-06-06 01:03:00,1.55 K,1.64 K,2.91 K
2024-06-06 01:04:00,1.55 K,1.80 K,1.02 K
2024-06-06 01:05:00,1.49 K,1.78 K,1.72 K
2024-06-06 01:06:00,1.46 K,1.76 K,2.10 K
2024-06-06 01:07:00,1.45 K,2.00 K,1.76 K
2024-06-06 01:08:00,1.44 K,1.93 K,1.80 K
2024-06-06 01:09:00,1.54 K,1.88 K,2.22 K
2024-06-06 01:10:00,1.53 K,1.92 K,2.49 K
2024-06-06 01:11:00,1.52 K,1.84 K,1.85 K
2024-06-06 01:12:00,1.55 K,1.76 K,1.38 K
2024-06-06 01:13:00,1.52 K,1.73 K,1.89 K
2024-06-06 01:14:00,967,1.10 K,1.16 K
2024-06-06 01:15:00,965,1.12 K,1.88 K
2024-06-06 01:16:00,958,1.10 K,1.07 K
2024-06-06 01:17:00,964,1.01 K,1.15 K
2024-06-06 01:18:00,967,1.09 K,1.14 K
2024-06-06 01:19:00,541,1.09 K,1.89 K
2024-06-06 01:20:00,548,1.34 K,2.14 K
2024-06-06 01:21:00,537,1.26 K,1.51 K
2024-06-06 01:22:00,549,1.10 K,1.96 K
2024-06-06 01:23:00,742,1.12 K,1.87 K
2024-06-06 01:24:00,1.32 K,1.77 K,1.52 K
2024-06-06 01:25:00,1.33 K,1.78 K,1.64 K
2024-06-06 01:26:00,1.34 K,1.79 K,1.76 K
2024-06-06 01:27:00,1.34 K,1.85 K,1.39 K
2024-06-06 01:28:00,1.34 K,1.69 K,1.90 K
2024-06-06 01:29:00,1.35 K,1.73 K,2.11 K
2024-06-06 01:30:00,1.36 K,1.76 K,2.49 K
2024-06-06 01:31:00,1.40 K,1.94 K,2.13 K
2024-06-06 01:32:00,1.38 K,1.87 K,2.04 K
2024-06-06 01:33:00,1.39 K,1.72 K,2.54 K
2024-06-06 01:34:00,1.33 K,1.83 K,1.76 K
2024-06-06 01:35:00,1.28 K,721,593
2024-06-06 01:36:00,1.26 K,703,612
2024-06-06 01:37:00,1.36 K,707,645
2024-06-06 01:38:00,1.34 K,713,645
2024-06-06 01:39:00,1.38 K,716,632
2024-06-06 01:40:00,1.35 K,712,631
2024-06-06 01:41:00,1.36 K,697,625
2024-06-06 01:42:00,1.31 K,690,629
2024-06-06 01:43:00,1.34 K,692,609
2024-06-06 01:44:00,1.33 K,688,612
2024-06-06 01:45:00,1.28 K,694,591
2024-06-06 01:46:00,1.36 K,718,625
2024-06-06 01:47:00,1.38 K,720,618
2024-06-06 01:48:00,1.36 K,709,622
2024-06-06 01:49:00,769,0.342,-0.419
2024-06-06 01:50:00,752,0.482,-0.508
2024-06-06 01:51:00,751,0.370,-0.589
2024-06-06 01:52:00,767,0.373,-0.483
2024-06-06 01:53:00,766,0.419,-0.560
2024-06-06 01:54:00,761,0.441,-0.514
2024-06-06 01:55:00,767,0.395,-0.463
2024-06-06 01:56:00,1.30 K,671,555
2024-06-06 01:57:00,1.29 K,658,568
2024-06-06 01:58:00,1.30 K,658,568
2024-06-06 01:59:00,1.32 K,690,590
2024-06-06 02:00:00,1.30 K,667,549
2024-06-06 02:01:00,1.29 K,645,565
2024-06-06 02:02:00,1.29 K,656,575
