"Time","L1","L2","L3"
2024-06-06 06:53:00,1.37 K,637,631
2024-06-06 06:54:00,906,0.274,0.0361
2024-06-06 06:55:00,904,0.248,0.0389
2024-06-06 06:56:00,906,0.244,0.0420
2024-06-06 06:57:00,904,0.235,0.0418
2024-06-06 06:58:00,892,0.222,0.0142
2024-06-06 06:59:00,896,0.263,0.0189
2024-06-06 07:00:00,903,0.268,0.0230
2024-06-06 07:01:00,1.99 K,1.35 K,1.31 K
2024-06-06 07:02:00,1.90 K,1.30 K,1.26 K
2024-06-06 07:03:00,1.40 K,694,684
2024-06-06 07:04:00,1.45 K,674,668
2024-06-06 07:05:00,1.45 K,673,661
2024-06-06 07:06:00,897,0.254,0.0322
2024-06-06 07:07:00,891,0.261,0.0237
2024-06-06 07:08:00,899,0.244,0.0266
2024-06-06 07:09:00,900,0.218,0.0423
2024-06-06 07:10:00,898,0.214,0.0186
2024-06-06 07:11:00,900,0.198,0.0327
2024-06-06 07:12:00,900,0.243,0.0316
2024-06-06 07:13:00,1.91 K,1.32 K,1.30 K
2024-06-06 07:14:00,1.90 K,1.28 K,1.27 K
2024-06-06 07:15:00,1.50 K,717,696
2024-06-06 07:16:00,1.48 K,698,676
2024-06-06 07:17:00,1.49 K,707,685
2024-06-06 07:18:00,1.44 K,651,620
2024-06-06 07:19:00,898,0.242,0.0381
2024-06-06 07:20:00,900,0.189,-0.255
2024-06-06 07:21:00,897,0.200,-0.259
2024-06-06 07:22:00,899,0.239,0.0414
2024-06-06 07:23:00,900,0.257,0.0474
2024-06-06 07:24:00,898,0.260,0.0400
2024-06-06 07:25:00,903,0.258,0.0427
2024-06-06 07:26:00,1.93 K,1.26 K,1.21 K
2024-06-06 07:27:00,2.02 K,1.33 K,1.27 K
2024-06-06 07:28:00,1.48 K,677,659
2024-06-06 07:29:00,1.47 K,679,664
2024-06-06 07:30:00,904,0.257,0.0443
2024-06-06 07:31:00,908,0.248,-0.0529
2024-06-06 07:32:00,899,0.253,0.0424
2024-06-06 07:33:00,895,0.190,0.0437
2024-06-06 07:34:00,900,0.248,0.0347
2024-06-06 07:35:00,898,0.270,0.0391
2024-06-06 07:36:00,898,0.272,0.0414
2024-06-06 07:37:00,1.97 K,1.33 K,1.23 K
2024-06-06 07:38:00,1.83 K,1.29 K,1.22 K
2024-06-06 07:39:00,1.48 K,712,666
2024-06-06 07:40:00,1.37 K,674,637
2024-06-06 07:41:00,1.35 K,662,608
2024-06-06 07:42:00,892,0.247,0.0149
2024-06-06 07:43:00,892,0.252,0.0183
2024-06-06 07:44:00,891,0.214,0.0106
2024-06-06 07:45:00,898,0.262,0.00915
2024-06-06 07:46:00,894,0.286,0.00602
2024-06-06 07:47:00,890,0.259,0.00673
2024-06-06 07:48:00,898,0.240,0.0123
2024-06-06 07:49:00,1.97 K,1.34 K,1.26 K
2024-06-06 07:50:00,1.84 K,1.32 K,1.28 K
2024-06-06 07:51:00,1.42 K,690,643
2024-06-06 07:52:00,1.39 K,689,651
2024-06-06 07:53:00,1.39 K,703,658
2024-06-06 07:54:00,908,0.244,0.0138
2024-06-06 07:55:00,897,0.253,0.0102
2024-06-06 07:56:00,901,0.259,0.000469
2024-06-06 07:57:00,899,0.252,0.0127
2024-06-06 07:58:00,892,0.364,-0.235
2024-06-06 07:59:00,890,0.371,-0.222
2024-06-06 08:00:00,888,0.359,-0.220
2024-06-06 08:01:00,1.97 K,1.36 K,1.30 K
2024-06-06 08:02:00,1.97 K,1.33 K,1.25 K
2024-06-06 08:03:00,1.39 K,686,646
2024-06-06 08:04:00,1.47 K,720,646
2024-06-06 08:05:00,1.47 K,721,663
2024-06-06 08:06:00,894,0.331,-0.227
2024-06-06 08:07:00,898,0.336,-0.218
2024-06-06 08:08:00,896,0.329,-0.220
2024-06-06 08:09:00,1.34 K,716,711
2024-06-06 08:10:00,1.77 K,1.36 K,1.35 K
2024-06-06 08:11:00,1.76 K,1.37 K,1.35 K
2024-06-06 08:12:00,1.76 K,1.36 K,1.35 K
2024-06-06 08:13:00,1.77 K,1.35 K,1.32 K
2024-06-06 08:14:00,1.76 K,1.37 K,1.35 K
2024-06-06 08:15:00,1.74 K,1.37 K,1.36 K
2024-06-06 08:16:00,1.73 K,1.35 K,1.34 K
2024-06-06 08:17:00,1.74 K,1.34 K,1.33 K
2024-06-06 08:18:00,1.74 K,1.34 K,1.32 K
2024-06-06 08:19:00,1.73 K,1.36 K,1.34 K
2024-06-06 08:20:00,1.71 K,1.35 K,1.31 K
2024-06-06 08:21:00,1.73 K,1.35 K,1.32 K
2024-06-06 08:22:00,1.74 K,1.36 K,1.33 K
2024-06-06 08:23:00,1.75 K,1.36 K,1.33 K
2024-06-06 08:24:00,1.12 K,683,671
2024-06-06 08:25:00,1.13 K,687,676
2024-06-06 08:26:00,1.13 K,686,675
2024-06-06 08:27:00,1.35 K,1.07 K,991
2024-06-06 08:28:00,1.38 K,984,946
2024-06-06 08:29:00,1.44 K,817,774
2024-06-06 08:30:00,2.24 K,1.73 K,1.62 K
2024-06-06 08:31:00,2.15 K,1.62 K,1.50 K
2024-06-06 08:32:00,2.19 K,1.46 K,1.40 K
2024-06-06 08:33:00,2.14 K,1.45 K,1.37 K
2024-06-06 08:34:00,2.13 K,1.41 K,1.32 K
2024-06-06 08:35:00,2.12 K,1.41 K,1.27 K
2024-06-06 08:36:00,2.03 K,1.35 K,1.24 K
2024-06-06 08:37:00,2.06 K,1.29 K,1.20 K
2024-06-06 08:38:00,1.94 K,1.28 K,1.17 K
2024-06-06 08:39:00,2.11 K,1.37 K,1.22 K
2024-06-06 08:40:00,2.00 K,1.25 K,1.17 K
2024-06-06 08:41:00,1.95 K,1.27 K,1.15 K
2024-06-06 08:42:00,1.36 K,644,571
2024-06-06 08:43:00,1.45 K,701,588
2024-06-06 08:44:00,1.45 K,679,601
2024-06-06 08:45:00,1.44 K,3.64 K,3.34 K
2024-06-06 08:46:00,1.45 K,3.62 K,3.06 K
2024-06-06 08:47:00,1.48 K,3.72 K,3.07 K
2024-06-06 08:48:00,1.47 K,3.71 K,3.11 K
2024-06-06 08:49:00,1.47 K,3.72 K,3.11 K
2024-06-06 08:50:00,1.48 K,3.68 K,3.10 K
2024-06-06 08:51:00,1.39 K,3.67 K,3.08 K
2024-06-06 08:52:00,1.33 K,3.54 K,3.00 K
2024-06-06 08:53:00,757,3.00 K,2.56 K
2024-06-06 08:54:00,756,3.01 K,2.56 K
2024-06-06 08:55:00,1.35 K,3.68 K,3.15 K
2024-06-06 08:56:00,1.50 K,3.67 K,3.09 K
2024-06-06 08:57:00,828,3.00 K,2.56 K
2024-06-06 08:58:00,1.24 K,3.66 K,3.09 K
2024-06-06 08:59:00,1.23 K,3.62 K,3.09 K
2024-06-06 09:00:00,1.31 K,3.41 K,3.08 K
2024-06-06 09:01:00,1.27 K,1.19 K,3.06 K
2024-06-06 09:02:00,1.24 K,3.42 K,3.04 K
2024-06-06 09:03:00,1.33 K,2.14 K,3.03 K
2024-06-06 09:04:00,1.36 K,1.82 K,3.41 K
2024-06-06 09:05:00,1.21 K,1.86 K,3.35 K
2024-06-06 09:06:00,1.33 K,1.76 K,3.06 K
2024-06-06 09:07:00,1.36 K,1.69 K,3.07 K
2024-06-06 09:08:00,1.29 K,1.64 K,3.05 K
2024-06-06 09:09:00,1.32 K,1.61 K,3.11 K
2024-06-06 09:10:00,1.36 K,1.49 K,3.18 K
2024-06-06 09:11:00,1.34 K,1.53 K,3.21 K
2024-06-06 09:12:00,1.25 K,1.42 K,2.07 K
2024-06-06 09:13:00,1.29 K,1.54 K,2.56 K
2024-06-06 09:14:00,1.29 K,1.54 K,2.78 K
2024-06-06 09:15:00,1.39 K,1.39 K,1.85 K
2024-06-06 09:16:00,768,814,784
2024-06-06 09:17:00,777,837,1.53 K
2024-06-06 09:18:00,770,748,1.13 K
2024-06-06 09:19:00,751,686,1.86 K
2024-06-06 09:20:00,768,823,1.02 K
2024-06-06 09:21:00,771,763,782
2024-06-06 09:22:00,762,678,397
2024-06-06 09:23:00,1.34 K,1.39 K,1.37 K
2024-06-06 09:24:00,1.33 K,1.51 K,2.08 K
2024-06-06 09:25:00,1.40 K,1.50 K,1.41 K
2024-06-06 09:26:00,1.27 K,1.36 K,1.69 K
2024-06-06 09:27:00,1.38 K,1.50 K,1.74 K
2024-06-06 09:28:00,1.38 K,1.44 K,1.24 K
2024-06-06 09:29:00,1.38 K,1.33 K,1.36 K
2024-06-06 09:30:00,1.35 K,1.37 K,1.36 K
2024-06-06 09:31:00,1.35 K,1.36 K,1.74 K
2024-06-06 09:32:00,551,814,1.13 K
2024-06-06 09:33:00,541,685,2.20 K
2024-06-06 09:34:00,543,743,759
2024-06-06 09:35:00,534,694,760
2024-06-06 09:36:00,546,596,1.14 K
2024-06-06 09:37:00,964,620,1.51 K
2024-06-06 09:38:00,543,619,23.9
2024-06-06 09:39:00,545,677,1.31 K
2024-06-06 09:40:00,539,712,23.5
2024-06-06 09:41:00,550,643,394
2024-06-06 09:42:00,540,703,67.0
2024-06-06 09:43:00,550,643,1.07 K
2024-06-06 09:44:00,545,700,1.86 K
2024-06-06 09:45:00,545,734,754
2024-06-06 09:46:00,549,718,759
2024-06-06 09:47:00,549,713,459
2024-06-06 09:48:00,549,657,146
2024-06-06 09:49:00,542,643,721
2024-06-06 09:50:00,548,666,403
2024-06-06 09:51:00,547,670,765
2024-06-06 09:52:00,547,691,1.52 K
2024-06-06 09:53:00,552,620,758
2024-06-06 09:54:00,538,655,768
2024-06-06 09:55:00,547,690,756
2024-06-06 09:56:00,547,693,1.46 K
2024-06-06 09:57:00,543,698,1.52 K
2024-06-06 09:58:00,549,724,2.51 K
2024-06-06 09:59:00,543,878,1.11 K
2024-06-06 10:00:00,541,806,1.86 K
2024-06-06 10:01:00,523,970,1.83 K
2024-06-06 10:02:00,518,973,847
2024-06-06 10:03:00,523,978,940
2024-06-06 10:04:00,523,912,900
2024-06-06 10:05:00,523,858,1.08 K
2024-06-06 10:06:00,529,987,728
2024-06-06 10:07:00,949,963,24.1
2024-06-06 10:08:00,2.03 K,2.37 K,2.03 K
2024-06-06 10:09:00,2.28 K,2.64 K,1.85 K
2024-06-06 10:10:00,2.38 K,2.55 K,3.06 K
2024-06-06 10:11:00,2.25 K,2.52 K,2.36 K
2024-06-06 10:12:00,2.27 K,2.35 K,1.54 K
2024-06-06 10:13:00,2.26 K,2.45 K,2.37 K
2024-06-06 10:14:00,2.29 K,2.57 K,1.94 K
2024-06-06 10:15:00,2.24 K,2.45 K,1.87 K
2024-06-06 10:16:00,1.51 K,1.66 K,1.33 K
2024-06-06 10:17:00,1.61 K,1.81 K,1.71 K
2024-06-06 10:18:00,1.59 K,1.72 K,1.68 K
2024-06-06 10:19:00,1.58 K,1.86 K,2.75 K
2024-06-06 10:20:00,1.51 K,1.80 K,2.71 K
2024-06-06 10:21:00,1.59 K,1.78 K,1.69 K
2024-06-06 10:22:00,1.55 K,1.71 K,2.01 K
2024-06-06 10:23:00,1.60 K,1.76 K,2.04 K
2024-06-06 10:24:00,1.48 K,1.80 K,1.70 K
2024-06-06 10:25:00,1.58 K,1.79 K,1.64 K
2024-06-06 10:26:00,1.60 K,1.84 K,2.06 K
2024-06-06 10:27:00,1.59 K,1.78 K,2.27 K
2024-06-06 10:28:00,1.65 K,1.78 K,2.43 K
2024-06-06 10:29:00,1.58 K,1.77 K,2.39 K
2024-06-06 10:30:00,1.59 K,1.75 K,3.11 K
2024-06-06 10:31:00,1.58 K,1.74 K,2.66 K
2024-06-06 10:32:00,1.49 K,1.82 K,1.50 K
2024-06-06 10:33:00,1.51 K,1.70 K,1.03 K
2024-06-06 10:34:00,546,1.25 K,766
2024-06-06 10:35:00,555,1.10 K,1.48 K
2024-06-06 10:36:00,547,1.07 K,1.14 K
2024-06-06 10:37:00,555,1.17 K,756
2024-06-06 10:38:00,542,1.08 K,1.49 K
2024-06-06 10:39:00,564,1.12 K,976
2024-06-06 10:40:00,556,1.01 K,580
2024-06-06 10:41:00,549,1.03 K,1.83 K
2024-06-06 10:42:00,543,948,398
2024-06-06 10:43:00,542,1.07 K,1.31 K
2024-06-06 10:44:00,546,964,2.22 K
2024-06-06 10:45:00,546,1.05 K,1.45 K
2024-06-06 10:46:00,548,1.09 K,2.04 K
2024-06-06 10:47:00,549,1.12 K,1.50 K
2024-06-06 10:48:00,891,1.25 K,1.72 K
2024-06-06 10:49:00,543,1.09 K,1.49 K
2024-06-06 10:50:00,551,948,1.50 K
2024-06-06 10:51:00,549,829,728
2024-06-06 10:52:00,548,904,394
2024-06-06 10:53:00,539,1.03 K,782
2024-06-06 10:54:00,547,1.05 K,756
2024-06-06 10:55:00,544,951,23.8
2024-06-06 10:56:00,550,966,1.14 K
2024-06-06 10:57:00,548,1.05 K,397
2024-06-06 10:58:00,553,999,390
2024-06-06 10:59:00,552,1.09 K,781
2024-06-06 11:00:00,549,954,770
2024-06-06 11:01:00,546,903,742
2024-06-06 11:02:00,546,933,774
2024-06-06 11:03:00,546,951,756
2024-06-06 11:04:00,553,915,2.02 K
2024-06-06 11:05:00,551,885,1.85 K
2024-06-06 11:06:00,555,1.07 K,1.11 K
2024-06-06 11:07:00,543,1.05 K,2.28 K
2024-06-06 11:08:00,538,989,2.17 K
2024-06-06 11:09:00,545,989,1.76 K
2024-06-06 11:10:00,540,956,1.44 K
2024-06-06 11:11:00,537,903,1.77 K
2024-06-06 11:12:00,549,903,1.32 K
2024-06-06 11:13:00,542,953,1.10 K
2024-06-06 11:14:00,547,1.05 K,1.11 K
2024-06-06 11:15:00,548,959,750
2024-06-06 11:16:00,989,1.01 K,1.07 K
2024-06-06 11:17:00,2.55 K,2.57 K,2.10 K
2024-06-06 11:18:00,2.46 K,2.58 K,3.06 K
2024-06-06 11:19:00,2.55 K,2.65 K,2.08 K
2024-06-06 11:20:00,2.38 K,2.45 K,1.32 K
2024-06-06 11:21:00,2.40 K,3.06 K,2.80 K
2024-06-06 11:22:00,2.34 K,2.72 K,2.02 K
2024-06-06 11:23:00,2.36 K,2.34 K,1.66 K
2024-06-06 11:24:00,2.34 K,2.55 K,1.66 K
2024-06-06 11:25:00,2.37 K,2.76 K,1.96 K
2024-06-06 11:26:00,2.34 K,2.41 K,2.00 K
2024-06-06 11:27:00,2.34 K,3.18 K,2.32 K
2024-06-06 11:28:00,2.27 K,2.79 K,3.04 K
2024-06-06 11:29:00,2.31 K,2.42 K,2.36 K
2024-06-06 11:30:00,2.23 K,2.57 K,1.55 K
2024-06-06 11:31:00,2.29 K,2.46 K,1.58 K
2024-06-06 11:32:00,1.59 K,1.78 K,1.56 K
2024-06-06 11:33:00,1.60 K,1.74 K,935
2024-06-06 11:34:00,1.63 K,1.80 K,979
2024-06-06 11:35:00,1.63 K,1.78 K,1.30 K
2024-06-06 11:36:00,1.60 K,1.63 K,2.01 K
2024-06-06 11:37:00,1.61 K,1.65 K,1.69 K
2024-06-06 11:38:00,1.63 K,1.64 K,1.41 K
2024-06-06 11:39:00,1.61 K,1.79 K,1.34 K
2024-06-06 11:40:00,1.63 K,1.70 K,1.59 K
2024-06-06 11:41:00,1.62 K,1.71 K,1.32 K
2024-06-06 11:42:00,1.61 K,1.64 K,1.59 K
2024-06-06 11:43:00,1.62 K,1.64 K,2.73 K
2024-06-06 11:44:00,1.61 K,1.74 K,1.68 K
2024-06-06 11:45:00,1.60 K,1.65 K,1.32 K
2024-06-06 11:46:00,1.58 K,1.76 K,956
2024-06-06 11:47:00,1.60 K,1.70 K,2.07 K
2024-06-06 11:48:00,539,1.03 K,2.14 K
2024-06-06 11:49:00,753,1.01 K,1.43 K
2024-06-06 11:50:00,752,1.09 K,1.28 K
2024-06-06 11:51:00,741,993,385
2024-06-06 11:52:00,1.38 K,1.70 K,1.31 K
2024-06-06 11:53:00,1.35 K,1.71 K,1.31 K
2024-06-06 11:54:00,1.42 K,1.82 K,2.03 K
2024-06-06 11:55:00,1.41 K,1.68 K,1.66 K
2024-06-06 11:56:00,1.40 K,1.67 K,972
2024-06-06 11:57:00,1.37 K,1.89 K,2.01 K
2024-06-06 11:58:00,1.43 K,1.85 K,2.35 K
2024-06-06 11:59:00,1.43 K,1.71 K,594
2024-06-06 12:00:00,1.41 K,1.58 K,1.64 K
2024-06-06 12:01:00,1.43 K,1.61 K,941
2024-06-06 12:02:00,1.42 K,1.87 K,1.30 K
2024-06-06 12:03:00,1.42 K,1.69 K,1.64 K
2024-06-06 12:04:00,1.41 K,1.75 K,1.26 K
2024-06-06 12:05:00,1.43 K,1.73 K,2.02 K
2024-06-06 12:06:00,1.42 K,1.71 K,1.34 K
2024-06-06 12:07:00,1.40 K,1.68 K,1.34 K
2024-06-06 12:08:00,756,1.00 K,1.12 K
2024-06-06 12:09:00,747,819,378
2024-06-06 12:10:00,1.81 K,2.24 K,1.38 K
2024-06-06 12:11:00,1.82 K,2.47 K,2.01 K
2024-06-06 12:12:00,1.76 K,2.44 K,2.61 K
2024-06-06 12:13:00,1.82 K,2.46 K,2.33 K
2024-06-06 12:14:00,1.84 K,2.25 K,1.27 K
2024-06-06 12:15:00,1.80 K,2.36 K,2.61 K
2024-06-06 12:16:00,1.83 K,2.49 K,2.65 K
2024-06-06 12:17:00,1.81 K,2.41 K,1.98 K
2024-06-06 12:18:00,1.80 K,2.30 K,2.31 K
2024-06-06 12:19:00,1.83 K,2.48 K,1.95 K
2024-06-06 12:20:00,1.80 K,2.44 K,1.95 K
2024-06-06 12:21:00,1.81 K,2.38 K,2.33 K
2024-06-06 12:22:00,1.78 K,2.44 K,2.33 K
2024-06-06 12:23:00,1.82 K,2.38 K,1.60 K
2024-06-06 12:24:00,1.77 K,2.47 K,2.70 K
2024-06-06 12:25:00,1.83 K,2.39 K,2.01 K
2024-06-06 12:26:00,1.82 K,2.56 K,2.39 K
2024-06-06 12:27:00,1.80 K,2.32 K,2.73 K
2024-06-06 12:28:00,1.17 K,1.77 K,2.76 K
2024-06-06 12:29:00,1.19 K,1.76 K,2.40 K
2024-06-06 12:30:00,521,1.13 K,1.42 K
2024-06-06 12:31:00,528,1.27 K,759
2024-06-06 12:32:00,530,986,1.41 K
2024-06-06 12:33:00,1.60 K,2.24 K,1.64 K
2024-06-06 12:34:00,1.46 K,2.02 K,1.57 K
2024-06-06 12:35:00,1.54 K,1.98 K,1.82 K
2024-06-06 12:36:00,1.51 K,1.83 K,2.14 K
2024-06-06 12:37:00,1.49 K,1.96 K,2.85 K
2024-06-06 12:38:00,1.51 K,1.98 K,2.78 K
2024-06-06 12:39:00,1.47 K,2.06 K,1.39 K
2024-06-06 12:40:00,1.46 K,2.01 K,1.40 K
2024-06-06 12:41:00,1.44 K,2.06 K,1.74 K
2024-06-06 12:42:00,1.46 K,1.91 K,1.69 K
2024-06-06 12:43:00,1.40 K,1.85 K,1.25 K
2024-06-06 12:44:00,1.43 K,1.84 K,2.63 K
2024-06-06 12:45:00,1.44 K,2.05 K,1.31 K
2024-06-06 12:46:00,1.39 K,1.94 K,2.03 K
2024-06-06 12:47:00,1.40 K,2.01 K,2.68 K
2024-06-06 12:48:00,1.40 K,1.98 K,1.60 K
2024-06-06 12:49:00,1.42 K,1.99 K,1.97 K
2024-06-06 12:50:00,1.40 K,2.18 K,1.79 K
2024-06-06 12:51:00,1.37 K,2.01 K,1.87 K
2024-06-06 12:52:00,1.42 K,2.02 K,2.00 K
2024-06-06 12:53:00,1.41 K,1.91 K,1.66 K
2024-06-06 12:54:00,1.45 K,1.87 K,2.02 K
2024-06-06 12:55:00,1.40 K,1.90 K,1.64 K
2024-06-06 12:56:00,1.41 K,1.86 K,1.30 K
2024-06-06 12:57:00,1.42 K,1.95 K,1.82 K
2024-06-06 12:58:00,1.39 K,1.82 K,1.31 K
2024-06-06 12:59:00,1.37 K,1.97 K,1.33 K
2024-06-06 13:00:00,1.41 K,1.81 K,1.66 K
2024-06-06 13:01:00,1.41 K,1.73 K,2.28 K
2024-06-06 13:02:00,1.36 K,1.83 K,2.13 K
2024-06-06 13:03:00,1.41 K,1.94 K,2.33 K
2024-06-06 13:04:00,1.43 K,1.98 K,2.38 K
2024-06-06 13:05:00,1.39 K,1.93 K,1.91 K
2024-06-06 13:06:00,1.39 K,1.68 K,1.66 K
2024-06-06 13:07:00,1.42 K,1.82 K,1.32 K
2024-06-06 13:08:00,1.39 K,1.86 K,2.04 K
2024-06-06 13:09:00,1.39 K,1.86 K,2.04 K
2024-06-06 13:10:00,1.40 K,1.73 K,2.37 K
2024-06-06 13:11:00,532,1.07 K,2.53 K
2024-06-06 13:12:00,964,1.00 K,1.48 K
2024-06-06 13:13:00,2.33 K,2.52 K,2.35 K
2024-06-06 13:14:00,2.30 K,2.35 K,2.67 K
2024-06-06 13:15:00,2.40 K,2.53 K,3.61 K
2024-06-06 13:16:00,2.41 K,2.59 K,3.27 K
2024-06-06 13:17:00,2.45 K,2.52 K,2.92 K
2024-06-06 13:18:00,2.33 K,2.48 K,2.56 K
2024-06-06 13:19:00,1.64 K,1.76 K,1.60 K
2024-06-06 13:20:00,1.63 K,1.79 K,2.21 K
2024-06-06 13:21:00,1.64 K,1.78 K,2.71 K
2024-06-06 13:22:00,1.63 K,1.89 K,1.65 K
2024-06-06 13:23:00,1.67 K,1.77 K,935
2024-06-06 13:24:00,752,1.04 K,1.73 K
2024-06-06 13:25:00,542,981,1.12 K
2024-06-06 13:26:00,969,949,736
2024-06-06 13:27:00,1.57 K,1.74 K,2.72 K
2024-06-06 13:28:00,2.36 K,2.54 K,2.04 K
2024-06-06 13:29:00,2.44 K,2.64 K,1.53 K
2024-06-06 13:30:00,1.67 K,1.82 K,1.07 K
2024-06-06 13:31:00,949,939,749
2024-06-06 13:32:00,962,1.02 K,736
2024-06-06 13:33:00,967,1.09 K,384
2024-06-06 13:34:00,949,1.15 K,390
2024-06-06 13:35:00,941,1.02 K,1.78 K
2024-06-06 13:36:00,2.24 K,2.31 K,1.70 K
2024-06-06 13:37:00,2.34 K,2.45 K,1.38 K
2024-06-06 13:38:00,2.42 K,2.45 K,2.75 K
2024-06-06 13:39:00,1.66 K,1.73 K,2.41 K
2024-06-06 13:40:00,956,845,2.13 K
2024-06-06 13:41:00,950,764,388
2024-06-06 13:42:00,938,1.03 K,760
2024-06-06 13:43:00,955,1.15 K,1.80 K
2024-06-06 13:44:00,1.58 K,1.72 K,1.31 K
2024-06-06 13:45:00,2.41 K,2.41 K,2.13 K
2024-06-06 13:46:00,2.43 K,2.50 K,3.40 K
2024-06-06 13:47:00,1.68 K,1.75 K,1.75 K
2024-06-06 13:48:00,955,1.05 K,2.13 K
2024-06-06 13:49:00,956,1.05 K,1.51 K
2024-06-06 13:50:00,934,1.01 K,1.44 K
2024-06-06 13:51:00,926,957,2.45 K
2024-06-06 13:52:00,929,1.05 K,2.16 K
2024-06-06 13:53:00,2.32 K,2.57 K,2.57 K
2024-06-06 13:54:00,2.41 K,2.64 K,3.18 K
2024-06-06 13:55:00,2.41 K,2.62 K,2.61 K
2024-06-06 13:56:00,1.70 K,1.79 K,1.66 K
2024-06-06 13:57:00,945,1.16 K,752
2024-06-06 13:58:00,945,1.01 K,1.73 K
2024-06-06 13:59:00,917,1.06 K,1.08 K
2024-06-06 14:00:00,947,1.13 K,365
2024-06-06 14:01:00,941,1.09 K,1.08 K
2024-06-06 14:02:00,2.25 K,2.43 K,1.16 K
2024-06-06 14:03:00,2.51 K,2.61 K,2.70 K
2024-06-06 14:04:00,1.66 K,1.82 K,1.35 K
2024-06-06 14:05:00,1.66 K,1.78 K,1.32 K
2024-06-06 14:06:00,934,1000,1.02 K
2024-06-06 14:07:00,913,1.03 K,1.67 K
2024-06-06 14:08:00,908,1.13 K,1.71 K
2024-06-06 14:09:00,940,1.03 K,1.06 K
2024-06-06 14:10:00,925,827,1.37 K
2024-06-06 14:11:00,2.21 K,2.32 K,2.15 K
2024-06-06 14:12:00,2.49 K,2.78 K,2.82 K
2024-06-06 14:13:00,1.68 K,1.76 K,1.68 K
2024-06-06 14:14:00,940,956,749
2024-06-06 14:15:00,946,942,1.09 K
2024-06-06 14:16:00,931,916,726
2024-06-06 14:17:00,929,989,732
2024-06-06 14:18:00,939,879,1.07 K
2024-06-06 14:19:00,1.60 K,1.66 K,1.34 K
2024-06-06 14:20:00,2.29 K,2.55 K,1.52 K
2024-06-06 14:21:00,2.45 K,2.75 K,2.41 K
2024-06-06 14:22:00,1.63 K,1.71 K,1.54 K
2024-06-06 14:23:00,945,1.03 K,371
2024-06-06 14:24:00,927,1.07 K,1.06 K
2024-06-06 14:25:00,947,1.08 K,1.51 K
2024-06-06 14:26:00,936,904,371
2024-06-06 14:27:00,934,1.09 K,1.04 K
2024-06-06 14:28:00,1.58 K,1.76 K,1.03 K
2024-06-06 14:29:00,2.35 K,2.64 K,2.03 K
2024-06-06 14:30:00,2.45 K,2.60 K,2.40 K
2024-06-06 14:31:00,1.61 K,1.76 K,2.38 K
2024-06-06 14:32:00,931,1.13 K,1.25 K
2024-06-06 14:33:00,943,1.04 K,1.76 K
2024-06-06 14:34:00,942,1.07 K,1.08 K
2024-06-06 14:35:00,930,990,1.75 K
2024-06-06 14:36:00,941,1.06 K,1.47 K
2024-06-06 14:37:00,2.21 K,2.46 K,2.25 K
2024-06-06 14:38:00,2.42 K,2.69 K,2.90 K
2024-06-06 14:39:00,1.70 K,1.77 K,1.70 K
2024-06-06 14:40:00,534,1.05 K,2.50 K
2024-06-06 14:41:00,541,1.05 K,1.76 K
2024-06-06 14:42:00,543,1.16 K,1.46 K
2024-06-06 14:43:00,519,1.05 K,2.11 K
2024-06-06 14:44:00,531,1.11 K,1.71 K
2024-06-06 14:45:00,725,1.02 K,726
2024-06-06 14:46:00,740,1.03 K,1.09 K
2024-06-06 14:47:00,1.36 K,1.68 K,2.31 K
2024-06-06 14:48:00,1.51 K,1.97 K,1.78 K
2024-06-06 14:49:00,1.44 K,1.93 K,1.34 K
2024-06-06 14:50:00,1.46 K,1.92 K,2.41 K
2024-06-06 14:51:00,1.44 K,1.76 K,1.51 K
2024-06-06 14:52:00,1.46 K,1.72 K,2.28 K
2024-06-06 14:53:00,1.45 K,1.83 K,2.05 K
2024-06-06 14:54:00,1.36 K,1.72 K,1.39 K
2024-06-06 14:55:00,1.42 K,1.96 K,1.79 K
2024-06-06 14:56:00,1.41 K,1.89 K,2.47 K
2024-06-06 14:57:00,745,940,1.39 K
2024-06-06 14:58:00,735,1.14 K,1.69 K
2024-06-06 14:59:00,761,1.16 K,1.09 K
2024-06-06 15:00:00,753,1.16 K,728
2024-06-06 15:01:00,743,940,1.07 K
2024-06-06 15:02:00,750,1.07 K,492
2024-06-06 15:03:00,1.40 K,1.93 K,1.66 K
2024-06-06 15:04:00,1.42 K,1.92 K,1.70 K
2024-06-06 15:05:00,1.44 K,1.85 K,2.13 K
2024-06-06 15:06:00,1.50 K,1.80 K,2.43 K
2024-06-06 15:07:00,1.48 K,1.68 K,1.76 K
2024-06-06 15:08:00,1.38 K,1.67 K,1.72 K
2024-06-06 15:09:00,1.44 K,1.79 K,2.61 K
2024-06-06 15:10:00,1.38 K,1.74 K,1.18 K
2024-06-06 15:11:00,735,1.01 K,1.08 K
2024-06-06 15:12:00,733,948,1.41 K
2024-06-06 15:13:00,717,952,886
2024-06-06 15:14:00,734,835,377
2024-06-06 15:15:00,741,940,733
2024-06-06 15:16:00,723,950,1.06 K
2024-06-06 15:17:00,1.37 K,1.75 K,1.32 K
2024-06-06 15:18:00,1.47 K,1.73 K,1.21 K
2024-06-06 15:19:00,1.45 K,1.85 K,2.01 K
2024-06-06 15:20:00,1.42 K,1.72 K,1.00 K
2024-06-06 15:21:00,1.44 K,1.70 K,1.31 K
